,IoU,F1,Prec,recall,Acc
"bg,",0.9936029703549376,0.996741224474864,0.9952370787086724,0.998350226413137,0.9938809204101563
real potato,0.8435104963719344,0.9150634400718382,0.9649321130524305,0.8701861658991817,0.9998068237304687
fake potato,0.9310344633012649,0.9642357515559834,0.9975369234765579,0.93317970395518,0.9999496459960937
real apple,0.43759512752581126,0.6087431604682039,0.9085322953956084,0.4577620501646968,0.9979702758789063
fake apple,0.5702485495412126,0.7262678736483703,0.8835418063264894,0.6165939192669175,0.9982455444335937
real orange,0.5159537512606502,0.6806535657377506,0.9968728836972776,0.5167901746550466,0.9993611145019531
fake orange,0.7607827789604148,0.8640918330431031,0.8036393601153258,0.93449525138847,0.9991587829589844
real grape,0.14947976167413105,0.2600368737122516,0.3699110222443917,0.20054081560665926,0.9976176452636719
fake grape,0.7532545607992974,0.8592143638760392,0.8410221943241085,0.8783153863865223,0.9989356994628906
real lemon,0.2656785322085616,0.41977036395879225,0.3839199183734806,0.4631264546465015,0.9984956359863282
fake lemon,0.7927200476987424,0.8843268702154112,0.9058458677618857,0.8639019050566037,0.9995220947265625
real avocado,0.6051007049203913,0.753924964455854,0.9825903196362352,0.61165844644239,0.9996290588378907
fake avocado,0.32240038481049094,0.4875584580686018,0.8718790777963509,0.3384340686249162,0.9991488647460938
real pepper,0.6826424408275684,0.8113434068785,0.7845428663295435,0.8401468344729399,0.9985713195800782
fake pepper,0.8536082423940605,0.9209733586592262,0.9145417766060226,0.9275974590128836,0.9996208190917969
real plant,0.7483253329843195,0.8559981820501346,0.8354801689846499,0.877654379915709,0.9970475769042969
fake plant,0.46122448551739814,0.6312406145365475,0.4719058421421238,0.9532208406207661,0.99911376953125
real banana,0.1875799812246246,0.315875372560738,0.9583619766565046,0.18912128080183838,0.9981594848632812
fake banana,0.5419675592401589,0.702906128980334,0.6542804012128026,0.759455866295157,0.9988192749023438
real onion,0.8102790786902686,0.8951479660833801,0.8930912608322195,0.8973146276420431,0.9998101806640625
fake onion,0.9417126183326309,0.9699314720206186,0.9914141163784314,0.9494558416092903,0.9999629211425781
real unknown,0.4085088637542807,0.5800160443688382,0.41871293739572657,0.9437022000284161,0.999781494140625
fake unknown,0.11010894294345608,0.19833732361594114,0.13261320558639567,0.3935168345976669,0.9973202514648437
total,0.5951008554494177,0.7087999396974488,0.7808871918710103,0.7136748145001277,0.9986925738790761
total(-bg),0.5769871229537121,0.6957116994802937,0.7711440151965712,0.7007350230495363,0.9989112854003906
