,IoU,F1,Prec,recall,Acc
"bg,",0.9949557922942919,0.9974215216065291,0.9964485774556336,0.9984965630759343,0.9951808166503906
real potato,0.25512934554442024,0.4065062788400324,0.9975086697803354,0.2552920140870694,0.9991081237792969
fake potato,0.7552857283800348,0.8605353210161167,0.9991691775361623,0.7557603528328372,0.9998216247558593
real apple,0.4911420421033152,0.658696238180929,0.6330275203546278,0.6866430752470452,0.9975456237792969
fake apple,0.6728319641499494,0.8043727079060119,0.8313569883517011,0.7791787876690155,0.9985694885253906
real orange,0.5168199089838539,0.6814057364434347,0.9423430598580441,0.5336961494477056,0.9993424987792969
fake orange,0.6469947253181204,0.7856190126968129,0.6551699567354691,0.9810787710207932,0.9984675598144531
real grape,0.562372307641075,0.7198455243567243,0.7597824260449552,0.6839874246584271,0.9988887023925781
fake grape,0.8439448731852147,0.9153188844662168,0.9266663809684839,0.9043435181110278,0.9993814086914062
real lemon,0.38993792623366275,0.561040627955147,0.4397612523781501,0.774863661713014,0.9985752868652343
fake lemon,0.788617880554715,0.8817687357797412,0.9860008828711468,0.797547776433121,0.9995477294921875
real avocado,0.6928242173426699,0.8184925571867435,0.7775971512103272,0.864039394679156,0.9996440124511718
fake avocado,0.7278584873296463,0.8424488747978189,0.9874871273999464,0.7346340125652383,0.9996713256835937
real pepper,0.6511454626834746,0.7886701706634116,0.7179136124378341,0.8750208540170997,0.9982852172851563
fake pepper,0.4407852638394599,0.6118255642362057,0.9975397829589032,0.4412649610059218,0.9986656188964844
real plant,0.8319296636431889,0.9082050461114171,0.9250213532142407,0.8920856710823686,0.9981973266601563
fake plant,0.6799068721096045,0.809408275354511,0.7382306360469093,0.8958972220878599,0.999664306640625
real banana,0.00902306642453822,0.017882800387903634,0.9047612892780345,0.009031644648705388,0.9977711486816406
fake banana,0.5192092475131387,0.6834768457450763,0.5921604339583079,0.8082282613783324,0.9986231994628906
real onion,0.5274881433256217,0.6906133893157826,0.8908751096351357,0.5639250031426278,0.9995436096191406
fake onion,0.905978763115266,0.9506204614866187,0.9965526121306653,0.9088270638735897,0.9999404907226562
real unknown,0.46601487588385115,0.6357129369152218,0.4764397678991067,0.9551525806152118,0.9998249816894531
fake unknown,0.19915869828559313,0.33211841261466907,0.2563749113283951,0.4715682638252759,0.9984022521972656
total,0.5899719676471612,0.7113915619157859,0.8012255947753267,0.7204592620529295,0.9988114066745925
total(-bg),0.5715636119813824,0.6983902001116612,0.7923518228353128,0.7078212029155201,0.9989764334938744
