,IoU,F1,Prec,recall,Acc
"bg,",0.99436896130066,0.9971265337651574,0.9954688777698281,0.9988900532261722,0.9946148681640625
real potato,0.4166982869487882,0.5882248213253092,0.9812332147383611,0.4200459013001033,0.9992964172363281
fake potato,0.7419488730116583,0.8518116332943433,0.9891966484987077,0.7480100387932543,0.9998104858398438
real apple,0.6517634068634701,0.789122839998595,0.7937452427464308,0.7846528050214382,0.9985536193847656
fake apple,0.6558933144156899,0.7921438243184015,0.9303859521893483,0.6897429652047244,0.9986337280273437
real orange,0.383279291532199,0.5541203206803114,0.9999999697885205,0.3832792915321991,0.9991873168945312
fake orange,0.6841865211713353,0.8124342498333565,0.7045080977361349,0.9595458855156919,0.9987319946289063
real grape,0.39316184236858137,0.5643699931806446,0.7627877938669845,0.44792808267245426,0.9985565185546875
fake grape,0.7560523458419443,0.8610318158446433,0.881935731168379,0.8411912682374654,0.9989959716796875
real lemon,0.2336708334954255,0.37877488160993444,0.4980956305946756,0.3056348960577136,0.998822021484375
fake lemon,0.7557822097702759,0.8608574612607544,0.9946119577028836,0.7588892841046572,0.999481201171875
real avocado,0.6554096207722072,0.791790937111058,0.931969743620059,0.6883415322111407,0.9996636962890625
fake avocado,0.19739862028310867,0.3296849196090586,0.999999935400521,0.19739862028310864,0.9990396118164062
real pepper,0.6847893867665077,0.8128582190894538,0.762771984776844,0.8700984445599097,0.9985350036621093
fake pepper,0.666043259983522,0.7995024075436885,0.9621757838420769,0.6839510871010109,0.9991825866699219
real plant,0.8019402954455872,0.890035356906107,0.8649251570740858,0.9167531106346821,0.9977352905273438
fake plant,0.6891077364529216,0.8158933253193544,0.7470916215602929,0.898772988903892,0.9996772766113281
real banana,0.22646512711174005,0.369264819360344,0.9051404105686165,0.2319706625562226,0.9982196044921875
fake banana,0.43214645434940174,0.6034490756795664,0.46671503506840634,0.8536828064558494,0.9979364013671875
real onion,0.7602631846622344,0.8637563332936271,0.8324197207138649,0.8976524084166119,0.9997442626953125
fake onion,0.8608791019587009,0.9251891717233988,0.9042012718328423,0.9472792999448778,0.9999034118652343
real unknown,0.8771106119033197,0.9344827555893181,0.9811121740700762,0.8921754873878351,0.9999800109863282
fake unknown,0.14173680093256313,0.24824014332441777,0.17949131869607335,0.4025715247632828,0.9979460144042969
total,0.5939172211887758,0.7145289495504715,0.8291297075662615,0.6877590628210563,0.9987933614979619
total(-bg),0.5757148693655083,0.7016836048134404,0.821568836193372,0.6736167450753693,0.9989832930131389
