,IoU,F1,Prec,recall,Acc
"bg,",0.9936751166163831,0.996777528351328,0.9943564123363672,0.9993109514479747,0.9939445495605469
real potato,0.17495536629743222,0.2977823333533448,0.999999927113708,0.1749553662974322,0.9990127563476563
fake potato,0.1692501011887285,0.28947720273521593,0.9999998762376391,0.1692501011887285,0.9993948364257812
real apple,0.48561089928871226,0.6537034482055493,0.5737091691479889,0.759752318621175,0.9972235107421875
fake apple,0.7344778548231676,0.8468654557266863,0.9079014244398658,0.7936065276689034,0.9989167785644532
real orange,0.47383520227409676,0.6429521240184181,0.9814594489788578,0.478114862458142,0.9993003845214844
fake orange,0.714228566285737,0.833245214078076,0.7411173802875751,0.9516576007266944,0.998909912109375
real grape,0.5057491463935871,0.6717077271790096,0.7193758284431256,0.630051884600951,0.9987144470214844
fake grape,0.7452822863678178,0.8540038500613241,0.9225945384270247,0.7949923656519722,0.9989949035644531
real lemon,0.3396838015259111,0.5070664017008225,0.37672658229753025,0.7755128437352267,0.9982283020019531
fake lemon,0.7642247954409005,0.866308104155764,0.9612273521959966,0.7885322698266696,0.9994853210449218
real avocado,0.8226136055572635,0.9026248363349241,0.9510908917983474,0.8589490827758771,0.999827880859375
fake avocado,0.19447473410305668,0.3255913190209978,0.7961309128903317,0.20466717413074248,0.998985595703125
real pepper,0.6979975165762979,0.8220919771342448,0.8227430303599321,0.821541795338137,0.9986997985839844
fake pepper,0.6409960908968947,0.7811804463512783,0.9999999900129833,0.6409960908968947,0.999144287109375
real plant,0.7831217582649717,0.878321611116633,0.8883411066222427,0.8686233816380531,0.9975938415527343
fake plant,0.5954245854106106,0.7463669525115655,0.6288077648528392,0.9181364854651747,0.9995034790039062
real banana,0.0048893113887728415,0.009730076329475871,0.9999986111130401,0.0048893113887728415,0.9977639770507812
fake banana,0.5561726391925369,0.7147481795669234,0.9274940337722408,0.5814532134915958,0.9991464233398437
real onion,0.2943001748440278,0.4547256131839195,0.8992015519360503,0.3043404778864976,0.9993406677246094
fake onion,0.7212956074136909,0.8380358197309551,0.9993301741684468,0.7216444807341117,0.9998240661621094
real unknown,0.515228393703782,0.6800176958807892,0.6059701040320818,0.7748090863731788,0.9998834228515625
fake unknown,0.20115818225444573,0.3349000313905623,0.23267291664194517,0.5976095509306492,0.9980003356933593
total,0.5273324233090794,0.649922780352948,0.823054305569833,0.6353650966640675,0.9986886729364811
total(-bg),0.5061350281587473,0.6341566554439307,0.8152678461713542,0.618822103264799,0.9989043149081145
