,IoU,F1,Prec,recall,Acc
"bg,",0.9945009905270982,0.9971929172841452,0.9955707886910533,0.9989206669201419,0.9947416687011719
real potato,0.2818158597065052,0.43967917982802873,0.9999999547511331,0.28181585970650525,0.999140625
fake potato,0.8023036481192951,0.890259667792583,0.999739013576748,0.8024717050173501,0.99985595703125
real apple,0.5445127958929245,0.7050435040988303,0.6609533364506951,0.7555506379674894,0.9978195190429687
fake apple,0.6816360449019578,0.8106326438161764,0.9133826313778612,0.7287423184257099,0.9987149047851562
real orange,0.41679091160923365,0.5883170248101803,0.9776701378081749,0.4207966602501545,0.9992240905761719
fake orange,0.7380804923092651,0.8492558988638825,0.7659683812450483,0.9529900812653763,0.9990318298339844
real grape,0.5797442358562901,0.7339223772160264,0.7685111085198216,0.7024044383365897,0.9989369201660157
fake grape,0.7932766448058096,0.884673155584948,0.858979834276136,0.9120570848819985,0.9991207885742187
real lemon,0.38816623048384885,0.5592037331709214,0.4439273692101971,0.7555180374510772,0.9986004638671875
fake lemon,0.7747777360897088,0.8730483685035753,0.8991211241947182,0.8485394817992105,0.9994781494140625
real avocado,0.7701100653385539,0.8700767948034086,0.8456531714605118,0.8960590985868785,0.9997514343261719
fake avocado,0.1382401194515829,0.24287885364392503,0.9327086087982446,0.1396327449677028,0.9989584350585937
real pepper,0.7075858770809932,0.8287059479174588,0.7908880688667397,0.8704321672349734,0.9986842346191406
fake pepper,0.7840354717514384,0.8788966551787804,0.9869218422095547,0.7922668152341924,0.9994798278808594
real plant,0.8381257104421589,0.911885177892812,0.9382210088284403,0.8870820098744782,0.9982862854003907
fake plant,0.6539867245974451,0.7907515168198123,0.689945719937936,0.9261886325500646,0.9996099853515625
real banana,0.011855565260784736,0.023430543031112253,0.8333329365081255,0.011883742958822878,0.9977743530273437
fake banana,0.4846847823307821,0.652863167659956,0.5959734260359281,0.7218812149810783,0.9985881042480469
real onion,0.3778705576060613,0.5484420661226358,0.8849191092546405,0.3973990812802047,0.9994088745117188
fake onion,0.9214406352081064,0.9590644140100983,0.9994755899455796,0.9218863138600649,0.9999504089355469
real unknown,0.6584332633427478,0.793993072807939,0.7165898067135326,0.8902670906233693,0.9999261474609376
fake unknown,0.1617398088179463,0.2784013825255868,0.20162337498682326,0.44983700742779775,0.9980355834960938
total,0.5871180074578495,0.7004616549296878,0.8130467975498974,0.6984618648522273,0.9988312431003735
total(-bg),0.56860059913652,0.6869738702772126,0.8047502524980267,0.6848046465764132,0.9990171328457919
