,IoU,F1,Prec,recall,Acc
"bg,",0.9942802726861751,0.99708193667011,0.9956857617032494,0.9985823134752733,0.99453125
real potato,0.2299158348646285,0.3738420692857287,0.999999944536886,0.22991583486462847,0.9990785217285156
fake potato,0.6951423640045569,0.8201096936431168,0.9993979229561131,0.6954335840923003,0.99977783203125
real apple,0.49151964957591554,0.659035773292514,0.6812688789592669,0.6383016336209569,0.9977218627929687
fake apple,0.5668695299852813,0.7235215656581173,0.9060125180496533,0.6022874207796337,0.9982624816894531
real orange,0.4773920932017344,0.6462188354389379,0.9716476650790689,0.484136168548678,0.9993016052246094
fake orange,0.7605218823210357,0.8639237534967784,0.7833362199439213,0.9631169333593597,0.9991317749023437
real grape,0.5084513948446399,0.6740869323824376,0.669041958763104,0.6793100878512747,0.9986288452148437
fake grape,0.7604973841755365,0.863907418373518,0.8576538457944319,0.8703543254945578,0.9989860534667969
real lemon,0.3468761716108917,0.5150365336713396,0.4011438470922765,0.719423517016054,0.9984080505371093
fake lemon,0.817536558520673,0.8995599188137917,0.9927738029533885,0.822430574666927,0.9996116638183594
real avocado,0.7293295987523798,0.8434324772049978,0.8299427712977945,0.8574712502878283,0.9997042846679688
fake avocado,0.12712275440171333,0.225544041910631,0.7227585708442366,0.13363937600561876,0.9989019775390625
real pepper,0.6524384206898008,0.7896175612881394,0.7550329156485408,0.8276322341580501,0.9983872985839843
fake pepper,0.6575089198271997,0.7933220222119455,0.9935465132580764,0.6603290400081363,0.9991801452636718
real plant,0.8470139143884489,0.9171211325453642,0.927376216877386,0.9071881850939891,0.9983610534667968
fake plant,0.4283353589464659,0.5997252667183058,0.43945747800965934,0.9442101045971989,0.9989970397949218
real banana,0.03475663543033986,0.06717182335039204,0.990328628563128,0.03476843654238465,0.9978303527832031
fake banana,0.5853644002772299,0.7384108421417966,0.6738520449336068,0.8167717251429021,0.9989356994628906
real onion,0.6204892871484817,0.7657555464769795,0.8676501845702334,0.685357191600115,0.9996212768554688
fake onion,0.8818120457095301,0.9371446040014483,0.9238721587436053,0.9509068693855653,0.9999195861816407
real unknown,0.30715157985478053,0.46991855905458024,0.3112418609092022,0.9589693741441437,0.9996540832519532
fake unknown,0.14771670687603664,0.25737092678140794,0.17466373399725987,0.48913436274657074,0.9976220703125
total,0.5507844677431946,0.6713417058440164,0.7768558888471343,0.6943335018905281,0.998719774329144
total(-bg),0.5306255675185136,0.6565353317155577,0.7669090764445836,0.6805040104548579,0.9989101617986506
