,IoU,F1,Prec,recall,Acc
"bg,",0.9942661779636084,0.9970748488476194,0.9952527355293822,0.9990040131026771,0.994515380859375
real potato,0.25478194013284955,0.4060651913052785,0.9999999499499524,0.2547819401328495,0.9991082763671875
fake potato,0.8419179053199767,0.9141256333426513,0.9995028337185474,0.8422706149503432,0.9998847961425781
real apple,0.5596581406167518,0.7176177601890341,0.6953708283749344,0.7414418366145872,0.9979873657226562
fake apple,0.5700077377321683,0.7260733459620657,0.9307424901690838,0.595255413048596,0.9983045959472656
real orange,0.4020712370311683,0.5734970329038125,0.9590119175078198,0.40910143111276714,0.9991983032226562
fake orange,0.6798048454542474,0.8093365109629945,0.7088323624721315,0.9431830245006767,0.9987281799316406
real grape,0.36980703535864345,0.5398912335318224,0.623361708376909,0.476211353678204,0.9983056640625
fake grape,0.6980714164574368,0.822143274058133,0.8005235979973289,0.8450686761330335,0.9986479187011719
real lemon,0.31983704423148446,0.4846114603788378,0.47069618902855515,0.49948064789040963,0.9987516784667969
fake lemon,0.7906070638902951,0.8830108349541871,0.9779199073169201,0.804976553876837,0.9995489501953125
real avocado,0.8281073994515612,0.9059226222591882,0.9755635352232708,0.8456485903834385,0.9998368835449218
fake avocado,0.23644904557396954,0.38242861624203794,0.8101526698244873,0.25031879303342525,0.9990327453613281
real pepper,0.712777875608972,0.832256270191019,0.8422603756951119,0.8225846786977111,0.9987875366210938
fake pepper,0.6052550575025842,0.7540440262391667,0.9398050741467125,0.629665190258849,0.9990211486816406
real plant,0.7944105831393021,0.8853778944780526,0.8743845648836297,0.8967537208677786,0.9976786804199219
fake plant,0.46579000959739053,0.6355016882021122,0.5008837770560786,0.8692484495926294,0.99920654296875
real banana,0.08777830034453286,0.16137377273977638,0.9024895641431837,0.08861876892150776,0.9979306030273437
fake banana,0.44106480469245624,0.6120907796124818,0.4853062588754735,0.8287159851632716,0.9980680847167969
real onion,0.6753326093388498,0.8061575274482918,0.8772347859111087,0.7458199502479319,0.9996760559082031
fake onion,0.9297867018982338,0.9635660586746966,0.990301148792722,0.9383312953245152,0.9999552917480469
real unknown,0.8352523618022707,0.9101815818254424,0.9208983475685207,0.899809074445699,0.9999716186523437
fake unknown,0.1733181287534341,0.29538788056955384,0.22226283840008373,0.4404201296555572,0.99822998046875
total,0.5767892792127037,0.6964232976051414,0.8044677156939978,0.6811613100710128,0.9987120122494904
total(-bg),0.5578130565422081,0.6827573180032107,0.795795669337844,0.6667139144786645,0.9989027682217685
