,IoU,F1,Prec,recall,Acc
"bg,",0.9947797686820165,0.997333056387952,0.996117292723831,0.9986520357625863,0.995010986328125
real potato,0.21945931880312017,0.35989937204983435,0.9999999418942509,0.21945931880312014,0.9990660095214844
fake potato,0.859744591590023,0.9245337821072355,0.9992700486795608,0.860284858393698,0.9998977661132813
real apple,0.5292409387709198,0.6921119907295693,0.637076977920874,0.7576735924030358,0.9976748657226563
fake apple,0.5657864501883413,0.7226388063707447,0.9142857086315046,0.5974781741130044,0.9982687377929688
real orange,0.5369645393472258,0.6986871009958148,0.9402663348949013,0.555928664243531,0.9993682861328125
fake orange,0.6709213590415148,0.8030071336115495,0.6826901519642824,0.974949360542856,0.9986309814453125
real grape,0.37213447008706,0.5423694603655278,0.7005669246723716,0.44251991198918433,0.998441162109375
fake grape,0.7269140480700857,0.8418148717334191,0.8055785872386785,0.8815740589796062,0.9987748718261719
real lemon,0.24274738215162686,0.39061407830239825,0.33134436008187,0.47585042228186936,0.9982554626464843
fake lemon,0.826493463517997,0.9049560110202834,0.9875490279076495,0.8351965320216622,0.9996290588378907
real avocado,0.6823037516286768,0.811104777768405,0.9227386741470126,0.7236453083145269,0.9996868896484375
fake avocado,0.06540057772103412,0.12275806038723332,0.8267089305709173,0.06630961404858947,0.9988661193847657
real pepper,0.6977114896637682,0.8218935340405173,0.8223038669687951,0.8215835106725199,0.9986979675292968
fake pepper,0.5552998302307901,0.714028353207781,0.9975881360102431,0.5560463443054456,0.9989385986328125
real plant,0.8162005852449089,0.8987501053042145,0.8695236724621739,0.9301165472752676,0.9979049682617187
fake plant,0.5854115374615205,0.738450523195829,0.6006005933861791,0.9585889386773593,0.9994596862792968
real banana,0.09591365669349948,0.17502267774231464,0.9957716000160959,0.09595273600466701,0.9979676818847656
fake banana,0.5689190738440153,0.7251874922923109,0.659248197453873,0.8059057663743716,0.9988766479492187
real onion,0.5992663824046097,0.7493774615091938,0.8630860474777449,0.6622192085421515,0.9995999145507812
fake onion,0.8404640841077088,0.9132679227502958,0.9994250934341737,0.8408705963513761,0.9998992919921875
real unknown,0.3444888925249584,0.5124052330754895,0.3576283852859371,0.903625867974631,0.9997250366210938
fake unknown,0.1335314606808185,0.2355651098579013,0.15698795086151837,0.47193045143190054,0.9974197387695313
total,0.5447868544546192,0.6650337789046006,0.7854937610732364,0.6711461660655199,0.9986982926078463
total(-bg),0.5243326310806465,0.649929266291721,0.7759199641800278,0.6562595356247442,0.9988658974387427
