,IoU,F1,Prec,recall,Acc
"bg,",0.9943012143938542,0.9970924675408612,0.9958465601074442,0.9984417469328053,0.9945521545410156
real potato,0.2672787520112375,0.4217819635950651,0.9999999522900785,0.2672787520112375,0.9991232299804688
fake potato,0.6654796676690475,0.7990967615855449,0.9999999685237655,0.6654796676690475,0.9997563171386719
real apple,0.5371839529280641,0.6988699550907952,0.7685371763629087,0.6408668702305755,0.9980950927734376
fake apple,0.7426749174913714,0.8522892368876984,0.9119638784172668,0.8000323278369207,0.9989533996582032
real orange,0.23274663926879763,0.37757597687875016,0.9999999502487587,0.23274663926879763,0.9989889526367187
fake orange,0.6842650077284524,0.8124894764395948,0.7091429224415189,0.9512312069543161,0.9987434387207031
real grape,0.3100916401121142,0.4733404118836075,0.5590167141817605,0.4105093882152351,0.9980931091308594
fake grape,0.6238100681735002,0.7682798949261964,0.671709528939734,0.8974136827232039,0.997998046875
real lemon,0.10359077873458739,0.18768802358726241,0.2614136671746543,0.1464554642111729,0.9985105895996094
fake lemon,0.8206862480047472,0.9014633622912552,0.9726118823262201,0.8401009676155718,0.9996116638183594
real avocado,0.8029969031438678,0.8906857525893495,0.8840368610053879,0.8975369310749272,0.9997953796386718
fake avocado,0.10082458644646944,0.18316053741508576,0.8328172515152475,0.10290742026386865,0.9989018249511719
real pepper,0.731769602656885,0.8450623470858133,0.926386466419366,0.7769481028827461,0.9989582824707032
fake pepper,0.7269730774157782,0.8418548981244236,0.9398674168255413,0.7624351785261175,0.9993174743652343
real plant,0.8111456341425205,0.8956766195989461,0.8692001881927119,0.9239229910240373,0.9978483581542968
fake plant,0.5166449029955951,0.6812529244683327,0.5442979880309686,0.9104677739557558,0.9993220520019531
real banana,0.007872946872044612,0.015621239498109927,0.9354831165458737,0.007877223904134022,0.9977694702148437
fake banana,0.40491696350978107,0.5763828662052535,0.4429207460243956,0.825149296407189,0.9977691650390625
real onion,0.7249129825273638,0.8404712172408207,0.8367927546569676,0.8442830460347399,0.9997105407714844
fake onion,0.8478915480229872,0.9176354618916159,0.8848226114768161,0.953083411049978,0.9998921203613281
real unknown,0.6259385238267219,0.7698918851740142,0.6874062453218707,0.8749999165076415,0.9999163818359375
fake unknown,0.1602893688850331,0.2762513476209207,0.1930860627073384,0.4855124866803244,0.9978569030761719
total,0.5410559098678619,0.6532136794617095,0.7751026047711563,0.6615513257382757,0.9986732151197353
total(-bg),0.5204538505712257,0.6375828254581116,0.7650687886195069,0.646238124774888,0.9988605360551315
